Date,NIFTY
06-08-2013,5542.25
07-08-2013,5519.1
08-08-2013,5565.65
12-08-2013,5612.4
13-08-2013,5699.3
14-08-2013,5742.3
16-08-2013,5507.85
19-08-2013,5414.75
20-08-2013,5401.45
21-08-2013,5302.55
22-08-2013,5408.45
23-08-2013,5471.75
26-08-2013,5476.5
27-08-2013,5287.45
28-08-2013,5285
29-08-2013,5409.05
30-08-2013,5471.8
02-09-2013,5550.75
03-09-2013,5341.45
04-09-2013,5448.1
05-09-2013,5592.95
06-09-2013,5680.4
10-09-2013,5896.75
11-09-2013,5913.15
12-09-2013,5850.7
13-09-2013,5850.6
16-09-2013,5840.55
17-09-2013,5850.2
18-09-2013,5899.45
19-09-2013,6115.55
20-09-2013,6012.1
23-09-2013,5889.75
24-09-2013,5892.45
25-09-2013,5873.85
26-09-2013,5882.25
27-09-2013,5833.2
30-09-2013,5735.3
01-10-2013,5780.05
03-10-2013,5909.7
04-10-2013,5907.3
07-10-2013,5906.15
08-10-2013,5928.4
09-10-2013,6007.45
10-10-2013,6020.95
11-10-2013,6096.2
14-10-2013,6112.7
15-10-2013,6089.05
17-10-2013,6045.85
18-10-2013,6189.35
21-10-2013,6204.95
22-10-2013,6202.8
23-10-2013,6178.35
24-10-2013,6164.35
25-10-2013,6144.9
28-10-2013,6101.1
29-10-2013,6220.9
30-10-2013,6251.7
31-10-2013,6299.15
01-11-2013,6307.2
03-11-2013,6317.35
05-11-2013,6253.15
06-11-2013,6215.15
07-11-2013,6187.25
08-11-2013,6140.75
11-11-2013,6078.8
12-11-2013,6018.05
13-11-2013,5989.6
14-11-2013,6056.15
18-11-2013,6189
19-11-2013,6203.35
20-11-2013,6122.9
21-11-2013,5999.05
22-11-2013,5995.45
25-11-2013,6115.35
26-11-2013,6059.1
27-11-2013,6057.1
28-11-2013,6091.85
29-11-2013,6176.1
02-12-2013,6217.85
03-12-2013,6201.85
04-12-2013,6160.95
05-12-2013,6241.1
06-12-2013,6259.9
09-12-2013,6363.9
10-12-2013,6332.85
11-12-2013,6307.9
12-12-2013,6237.05
13-12-2013,6168.4
16-12-2013,6154.7
17-12-2013,6139.05
18-12-2013,6217.15
19-12-2013,6166.65
20-12-2013,6274.25
23-12-2013,6284.5
24-12-2013,6268.4
26-12-2013,6278.9
27-12-2013,6313.8
30-12-2013,6291.1
31-12-2013,6304
01-01-2014,6301.65
02-01-2014,6221.15
03-01-2014,6211.15
06-01-2014,6191.45
07-01-2014,6162.25
08-01-2014,6174.6
09-01-2014,6168.35
10-01-2014,6171.45
13-01-2014,6272.75
14-01-2014,6241.85
15-01-2014,6320.9
16-01-2014,6318.9
17-01-2014,6261.65
20-01-2014,6303.95
21-01-2014,6313.8
22-01-2014,6338.95
23-01-2014,6345.65
24-01-2014,6266.75
27-01-2014,6135.85
28-01-2014,6126.25
29-01-2014,6120.25
30-01-2014,6073.7
31-01-2014,6089.5
03-02-2014,6001.8
04-02-2014,6000.9
05-02-2014,6022.4
06-02-2014,6036.3
07-02-2014,6063.2
10-02-2014,6053.45
11-02-2014,6062.7
12-02-2014,6084
13-02-2014,6001.1
14-02-2014,6048.35
17-02-2014,6073.3
18-02-2014,6127.1
19-02-2014,6152.75
20-02-2014,6091.45
21-02-2014,6155.45
24-02-2014,6186.1
25-02-2014,6200.05
26-02-2014,6238.8
28-02-2014,6276.95
03-03-2014,6221.45
