Date,IOC,TATAMOTORS,M&M,YESBANK,HINDPETRO,IBULHSGFIN,BPCL,VEDL,BHARTIARTL,INFY,INFRATEL,GRASIM,TCS,GAIL,TATASTEEL,EICHERMOT,NTPC,ONGC,BAJAJ-AUTO,HEROMOTOCO,ZEEL,CIPLA,SBIN,HINDALCO,POWERGRID,SUNPHARMA,MARUTI,ADANIPORTS,ULTRACEMCO,INDUSINDBK,UPL,WIPRO,ITC,TITAN,DRREDDY,ICICIBANK,AXISBANK,HDFC,KOTAKBANK,HDFCBANK,ASIANPAINT,LT,JSWSTEEL,RELIANCE,HCLTECH,HINDUNILVR,TECHM
1/1/2009,426.25,170.5,283.15,78,265.2,,360.1,92.6,719.95,1148.15,,1226.75,496.85,207.85,228.7,235,182.5,684.8,409.75,811.85,143.6,192.95,1316.3,54.2,83.95,1055.65,549.9,333.8,395.5,39.25,108.55,248.15,171.65,939.3,467.6,464.15,516.85,1505.35,370.7,1013.75,888,821.75,238.35,1254.65,122.8,250.75,261.25
1/2/2009,430.9,176.05,288.6,81.4,265.8,,363.65,92.05,704.9,1132.1,,1213.95,498.3,207.65,229.6,240.05,184.15,680.3,415.8,791.65,138.1,191.6,1331.85,56.05,84.35,1048.75,544.4,331.25,386.3,41.4,116.25,243.7,174.5,955.15,468,471.25,541.9,1545.15,391.6,1015.65,902.5,825.35,236.85,1286.4,122.3,247.5,273.9
1/5/2009,421.65,178.45,296.25,88.25,264.3,,359.15,95.85,685.65,1172.8,,1234.8,515.25,214.05,245.6,239.95,180.8,725.25,440.15,778.45,150.1,190.95,1360.8,58.15,82.45,1043.9,557.05,390.4,384.85,46.05,118.9,245.75,172.95,960.75,471.25,499.9,560.1,1630.15,398.55,1044.1,915.3,857.3,245.4,1365.85,126.15,243,283.9
1/6/2009,434.75,186.45,318.3,87.65,267.75,,373.45,94.8,657,1168.55,,1334.85,506.4,210.9,247.05,237.4,177.05,718.9,434.7,790.25,147.95,192.95,1322.85,58.1,81.85,1041.4,561.4,395.2,429.2,43.6,115.85,242.7,174.4,923.05,486.7,523.45,569.75,1680.45,386.85,1100.4,918.3,850.2,252.35,1370.9,130.55,246.9,294.3
1/7/2009,421.15,174.15,302.6,78.7,264.95,,367.85,87.7,650,1187.55,,1336.9,504.8,198.65,233.75,224.45,171.45,690.6,407.25,774.25,144.6,185.9,1240.05,54.8,77.55,1043.15,565.15,352.05,409.4,38.1,109.8,244.65,168.1,895.25,464.9,467.85,522.1,1629.25,363.05,1009.25,892.2,774.65,238.55,1200.75,110.25,251.15,252
1/9/2009,434.9,165.75,312.15,75.9,267.7,,380.65,81.1,638.9,1203.4,,1364.6,536.95,202.55,215,219,178.25,669.1,427.7,802.35,129.8,188.85,1221.1,52.6,77.15,1099.45,585.85,338,396.75,37.5,106.35,250.95,169.65,895.5,459.9,456.6,486.6,1643.7,344.5,1017.5,880.35,720.85,224.1,1153.25,106.65,263.4,249.85
1/12/2009,420.45,161.5,308.95,74.65,259.6,,364.8,76.7,623.85,1159.7,,1359.2,512.55,206.15,200.15,225.45,170.9,653.5,427.7,781.8,124.75,187.1,1158.9,50.15,75.1,1130.35,579.35,369.85,379.35,36.25,106.05,227.4,165.1,888.95,468.45,438,451.7,1616.8,328.7,1003.7,889.1,688.3,215.6,1097.9,108,263.85,246.05
1/13/2009,436.95,155.1,306,70.5,270.75,,375.4,72.7,607.05,1228.15,,1327.85,525.65,206.7,202.5,230,168,630.6,435.3,805,114.1,185.35,1174.9,48.55,74,1134.3,587.5,349.75,365.15,36,110,240.3,168.7,903.65,452.75,425.45,440.3,1553.2,323.25,988.85,912.35,699.85,210.75,1077.55,108.85,254.55,233.4
1/14/2009,436.6,156.35,322.5,73.9,269.7,,374.25,76.05,622.75,1303.6,,1284.05,538.95,204.8,213.1,242.8,171.6,648.6,438.05,827.7,116.25,187.95,1196.9,50.65,74.15,1119.55,595.75,384.75,359.55,38.4,108.05,243.8,170.7,936.55,475.95,441.1,449.4,1586.35,337.5,977.55,915.5,709.2,219,1179.75,118.15,254,235.8
1/15/2009,427.8,150.65,321.65,71.2,273.75,,376.55,74.15,603.65,1251.7,,1302.85,510.45,199.4,197.7,235.2,166.7,625.35,443.65,832.2,125.65,181.95,1147.25,48.25,73.05,1104.55,589.95,373.1,358.8,37.45,104.5,235.25,168.5,931.55,445.2,408.65,434.05,1534.85,305.3,924.8,929.9,706.9,210.2,1142.35,109.1,247,241.65
1/16/2009,437.5,152.95,324.75,74.2,281.3,,385.25,77.9,634.75,1267.4,,1283.75,503,207.55,204.05,234.55,179.85,648.7,461.85,844.7,121.15,183.2,1164.15,50,75.35,1119.9,589.65,375.45,370.65,38.05,104,238.35,171.75,930,447.3,423.75,443.55,1565.5,315.9,937.55,917.45,717.15,211.8,1217.35,117.75,250.8,240.35
1/19/2009,441.95,150.1,309.45,74.05,287.3,,384.6,78.65,646.85,1262.05,,1246.2,500.75,213.15,208.55,228.3,178.4,670.25,499,839.85,130.9,180.25,1146.4,50.65,78.25,1119.15,573.9,362.7,380.7,37.55,102,231.4,170.65,943.35,457.45,412.6,438.3,1546.1,311.95,941.1,933.2,727.65,210.15,1229.9,115.85,254.2,239.8
1/20/2009,447.25,145.75,299.85,71.45,293.8,,392.8,75.15,616.35,1251.75,,1211.7,496.45,206.35,195.05,225.2,185.95,664.15,456.45,836.8,120.4,177.65,1112.9,48.45,87,1100.85,559.6,375.05,388.95,37.25,100.35,228.15,170.65,932.75,467.9,396.3,422.4,1485.8,304.35,912.45,928.7,708.7,205.65,1183.65,111.1,246.05,236.7
1/21/2009,439.55,139.9,296.35,68.25,287.85,,388.3,71.7,583.05,1223.85,,1141.35,492.3,205.4,188.9,225.05,179.95,650.05,453.2,841.5,110.1,180.05,1081.2,47.4,81.2,1078.9,539.75,356.55,389.7,35.9,104.35,219.7,171.25,915.9,447.05,369.35,407.7,1373.55,293.5,889.45,927.8,685.15,201.15,1119.85,115.75,255.1,226.7
1/22/2009,433.15,132.9,287.55,66.55,283.75,,385.1,70.6,619.2,1230.9,,1185.45,496.6,202.8,179.25,224.65,178.55,649.5,472.25,849.45,97.8,172.85,1090.3,43.85,85.05,1103.8,519.4,369.1,388.9,34.8,94.55,218,170.6,898.25,428.5,378.05,416.05,1403.25,276.9,900.5,902.7,664.65,195.8,1136.3,111.75,253.25,229.4
1/23/2009,433.25,135.05,264.65,63.5,273.05,,366.6,68.4,613.15,1204.65,,1132.5,486.15,199.4,166.3,220.15,179.85,646.5,457.55,846.6,91.55,186.05,1041.5,43.5,86.25,1071.65,515.2,363.9,395.8,32.85,89.7,213.55,170.4,919.4,432.2,363.85,384.3,1389.1,256.15,872.45,920.75,641.05,186.65,1156.15,107,246.8,209.3
1/27/2009,431.9,140.35,272.2,58.4,278.6,,384.5,72.75,647.4,1252.1,,1177.05,499.1,188.65,171.95,219.4,190.1,621.15,453.1,857.15,98.1,191.1,1087.65,44.2,89.05,1141.25,537.65,375.7,391,32.85,91.5,226.05,170.8,910.85,443.9,381.1,394.75,1445.6,260,889.45,801.4,637.75,193.9,1225.95,112.55,253.35,215.75
1/28/2009,433.85,146.65,283.3,60.1,270.55,,378.4,80.65,652.15,1286.7,,1181.4,507.45,201.25,177.2,217.1,191.25,641.25,462.3,870.8,111,194.2,1112.45,44.35,91.05,1158.2,520.55,394.55,412.15,32.95,94.15,234.1,175.65,945.5,442.55,408.05,422.85,1504.55,275.25,911.75,780.6,671.7,204.65,1274,113.9,259.05,224.15
